HC_class	label
Cluster\ 0 Cluster\ 1 Other	string
class	meta
Cluster 0	mixtes
Cluster 0	grasses
Cluster 0	taches
Cluster 0	naturelle
Cluster 0	teinte
Cluster 0	parfaite
Cluster 0	maquillage
Cluster 0	gamme
Cluster 0	utilisation
Cluster 0	matin
Cluster 0	sensation
Cluster 0	pique
Cluster 0	film
Cluster 0	maquiller
Cluster 0	poudre
Cluster 0	mine
Cluster 0	teintee
Cluster 0	jour
Cluster 0	nuit
Cluster 0	cher
Cluster 0	produit
Cluster 0	prix
Cluster 0	adore
Cluster 0	recommande
Cluster 0	racheterai
Cluster 0	pot
Cluster 0	tube
Cluster 0	presentation
Cluster 0	efficacite
Cluster 0	hydratant
Cluster 0	texture
Cluster 0	odeur
Cluster 0	penetre
Cluster 0	creme
Cluster 0	parfum
Cluster 0	dommage
Cluster 0	creme
Cluster 0	protection
Cluster 0	pratique
Cluster 0	pompe
Cluster 0	tient
Cluster 0	dure
Cluster 0	flacon
Cluster 0	agreable
Cluster 0	legere
Cluster 0	fluide
Cluster 0	hydratation
Cluster 0	effet
Cluster 0	penetration
Cluster 0	colle
Cluster 0	sent
Cluster 0	facile
Cluster 0	bouchon
Cluster 0	viens
Cluster 0	chere
Cluster 0	hydratante
Cluster 0	hiver
Cluster 0	peaux
Cluster 0	temps
Cluster 0	couleur
Cluster 0	peau
Cluster 0	application
Cluster 0	efficace
Cluster 0	parfait
Cluster 0	couvrance
Cluster 0	soin
Cluster 0	visage
Cluster 0	jours
Cluster 0	couvrant
Cluster 0	teint
Cluster 0	satisfaite
Cluster 0	deçue
Cluster 0	solaire
Cluster 0	uv
Cluster 0	rapport
Cluster 0	qualite
Cluster 0	emballage
Cluster 0	brillance
Cluster 0	rougeurs
Cluster 0	imperfections
Cluster 0	hydrate
Cluster 0	matifie
Cluster 0	grasse
Cluster 0	brille
Cluster 0	convient
Cluster 0	gras
Cluster 0	briller
Cluster 0	journee
Cluster 0	long
Cluster 0	ridules
Cluster 0	naturel
Cluster 0	joli
Cluster 0	unifie
Cluster 0	eclat
Cluster 0	camoufle
Cluster 0	couvre
Cluster 0	masque
Cluster 0	boutons
Cluster 0	achete
Cluster 0	rides
Cluster 0	zone
Cluster 0	donne
Cluster 1	seche
Cluster 1	sensible
Cluster 1	mixte
Cluster 1	impression
Cluster 1	lisse
Cluster 1	douce
Cluster 1	hydratee
Cluster 1	belle
Cluster 1	resultat
Cluster 1	claire
Cluster 1	pores
